ASN,ASN_NAME,SOURCE,ASOF_DATE
35219,AS-VERIXIBE,PeeringDB,2021-12-31
5713,NTTCOM::AS-5713 NTTCOM::AS-5713-ZA,PeeringDB,2021-12-31
393513,AS393513,PeeringDB,2021-12-31
35217,AS-OVEA,PeeringDB,2021-12-31
35213,AS-PCN AS-PCN-V6,PeeringDB,2021-12-31
47027,AS-SEASI,PeeringDB,2021-12-31
23265,AS23265:AS-ALL,PeeringDB,2021-12-31
23260,AS-SAVAG-5-01,PeeringDB,2021-12-31
136328,AS136328,PeeringDB,2021-12-31
209216,RIPE::AS-TRUSTED-COLO,PeeringDB,2021-12-31
206813,AS-FFGT,PeeringDB,2021-12-31
208662,AS208662:AS-ALL,PeeringDB,2021-12-31
206819,AS-ANSON-TRANSIT,PeeringDB,2021-12-31
25048,AS-DSNET,PeeringDB,2021-12-31
43853,AS43853,PeeringDB,2021-12-31
43852,AS-KDC,PeeringDB,2021-12-31
197898,AS-IDSI,PeeringDB,2021-12-31
266028,AS266028,PeeringDB,2021-12-31
50030,AS-SYSTEMDE,PeeringDB,2021-12-31
270814,AS-ZAAZTELECOM,PeeringDB,2021-12-31
266020,AS-ICLICKTELECOM,PeeringDB,2021-12-31
53734,AS-NUTTER,PeeringDB,2021-12-31
6774,AS6774:AS-BICS-TRANSIT,PeeringDB,2021-12-31
6775,AS-FTS,PeeringDB,2021-12-31
6776,AS-THENET,PeeringDB,2021-12-31
6777,AS-AMS-IX-RS,PeeringDB,2021-12-31
6772,AS-IMPNET,PeeringDB,2021-12-31
56457,AS-FASTPATH,PeeringDB,2021-12-31
206723,AS206723,PeeringDB,2021-12-31
327732,AS-327732,PeeringDB,2021-12-31
328538,AS-328538,PeeringDB,2021-12-31
57279,AS-SAURON,PeeringDB,2021-12-31
57276,AS-OPTIMITY,PeeringDB,2021-12-31
328242,AS328242:AS-ALL,PeeringDB,2021-12-31
19919,AS-VSW-1,PeeringDB,2021-12-31
205394,RIPE::AS-CSLDUAL,PeeringDB,2021-12-31
55818,AS55818:AS-NAPINFO-MCIX,PeeringDB,2021-12-31
55819,AS-CAMPAIGNMONITOR,PeeringDB,2021-12-31
250,AS250:AS-CUMULATIVE,PeeringDB,2021-12-31
399521,AS399521,PeeringDB,2021-12-31
16724,RS-ESNETALL,PeeringDB,2021-12-31
137102,AS137102,PeeringDB,2021-12-31
12033,AS-ADAMSTEL,PeeringDB,2021-12-31
12035,RADB::AS-ATLANTICBB RADB::RS-ATLANTICBB,PeeringDB,2021-12-31
9500,AS-VODAFONENZ,PeeringDB,2021-12-31
9507,AS-NEXTHOP-AU,PeeringDB,2021-12-31
212806,AS-STRATAGEM,PeeringDB,2021-12-31
49541,AS-PKI,PeeringDB,2021-12-31
212808,AS-THIBAUD,PeeringDB,2021-12-31
49544,AS-INTERACTIVE3D,PeeringDB,2021-12-31
141105,APNIC::AS141105,PeeringDB,2021-12-31
47104,RIPE::AS-PROLINKMO,PeeringDB,2021-12-31
2518,AS-MESH,PeeringDB,2021-12-31
2519,RADB::AS-VECTANT RADB::AS-IPV6_VECTANT,PeeringDB,2021-12-31
43142,AS-adelinovius,PeeringDB,2021-12-31
