ASN,ASN_NAME,SOURCE,ASOF_DATE
25180,EXPONENTIAL-E-AS,ASRank,2022-09-14
202766,as-codinet,ASRank,2022-09-14
26801,ZITOMEDIA611,ASRank,2022-09-14
17408,ABOVE-AS-AP,ASRank,2022-09-14
9198,KAZTELECOM-AS,ASRank,2022-09-14
8501,PIONIER-AS,ASRank,2022-09-14
13876,FIBER-64,ASRank,2022-09-14
10578,GIGAPOP-NE,ASRank,2022-09-14
327708,AIRTEL-RW,ASRank,2022-09-14
4750,CSLOXINFO-AS-AP,ASRank,2022-09-14
4780,SEEDNET,ASRank,2022-09-14
6849,UKRTELNET,ASRank,2022-09-14
13768,COGECO-PEER1,ASRank,2022-09-14
18747,IFX18747,ASRank,2022-09-14
8437,UTA-AS,ASRank,2022-09-14
62943,AS62943-BLUEBIRD-NETWORK,ASRank,2022-09-14
133296,WEBWERKS-AS-IN,ASRank,2022-09-14
45474,NEXUSGUARD-AS-AP,ASRank,2022-09-14
8473,BAHNHOF,ASRank,2022-09-14
41313,NOVATEL-AS,ASRank,2022-09-14
27552,TWDX,ASRank,2022-09-14
60330,BCTBY-AS,ASRank,2022-09-14
4764,WIDEBAND-AS-AP,ASRank,2022-09-14
17621,CNCGROUP-SH,ASRank,2022-09-14
58224,TCI,ASRank,2022-09-14
24940,HETZNER-AS,ASRank,2022-09-14
20860,IOMART-AS,ASRank,2022-09-14
30517,GREAT-LAKES-COMNET,ASRank,2022-09-14
24748,THINX_Poland,ASRank,2022-09-14
47232,ISPAlliance,ASRank,2022-09-14
9924,TFN-TW,ASRank,2022-09-14
3754,NYSERNET3-AS,ASRank,2022-09-14
3327,CITIC,ASRank,2022-09-14
2588,LATNET-AS,ASRank,2022-09-14
8308,NASK-COMMERCIAL,ASRank,2022-09-14
45177,DEVOLI-AS-AP,ASRank,2022-09-14
44600,GT-AS,ASRank,2022-09-14
11383,AS-TIERP-11383,ASRank,2022-09-14
1759,TSF-IP-Core,ASRank,2022-09-14
8781,QA-ISP,ASRank,2022-09-14
35699,ADAMOEU-AS,ASRank,2022-09-14
47872,SOFIA-CONNECT-AS,ASRank,2022-09-14
200612,GulfBridgeInternational,ASRank,2022-09-14
15895,KSNET-AS,ASRank,2022-09-14
46450,PILOT,ASRank,2022-09-14
6789,CRELCOM-NET,ASRank,2022-09-14
9957,KINX-AS,ASRank,2022-09-14
2518,BIGLOBE,ASRank,2022-09-14
