FROM_NODE,TO_NODE,SOURCE,ASOF_DATE
ACT128,ACT130,Internet Atlas,2013-08-16
ACT128,ACT131,Internet Atlas,2013-08-16
ACT129,ACT127,Internet Atlas,2013-08-16
ACT13,ACT22,Internet Atlas,2013-08-16
ACT13,ACT27,Internet Atlas,2013-08-16
ACT133,ACT134,Internet Atlas,2013-08-16
ACT135,ACT127,Internet Atlas,2013-08-16
ACT135,ACT139,Internet Atlas,2013-08-16
ACT135,ACT151,Internet Atlas,2013-08-16
ACT135,ACT174,Internet Atlas,2013-08-16
ACT136,ACT151,Internet Atlas,2013-08-16
ACT137,ACT135,Internet Atlas,2013-08-16
ACT137,ACT136,Internet Atlas,2013-08-16
ACT138,ACT139,Internet Atlas,2013-08-16
ACT138,ACT141,Internet Atlas,2013-08-16
ACT14,ACT13,Internet Atlas,2013-08-16
ACT14,ACT15,Internet Atlas,2013-08-16
ACT140,ACT141,Internet Atlas,2013-08-16
ACT142,ACT136,Internet Atlas,2013-08-16
ACT142,ACT143,Internet Atlas,2013-08-16
ACT144,ACT143,Internet Atlas,2013-08-16
ACT144,ACT145,Internet Atlas,2013-08-16
ACT146,ACT145,Internet Atlas,2013-08-16
ACT146,ACT147,Internet Atlas,2013-08-16
ACT148,ACT149,Internet Atlas,2013-08-16
ACT148,ACT153,Internet Atlas,2013-08-16
ACT150,ACT149,Internet Atlas,2013-08-16
ACT150,ACT152,Internet Atlas,2013-08-16
ACT151,ACT127,Internet Atlas,2013-08-16
ACT151,ACT152,Internet Atlas,2013-08-16
ACT153,ACT719,Internet Atlas,2013-08-16
ACT154,ACT153,Internet Atlas,2013-08-16
ACT154,ACT165,Internet Atlas,2013-08-16
ACT155,ACT151,Internet Atlas,2013-08-16
ACT155,ACT156,Internet Atlas,2013-08-16
ACT157,ACT156,Internet Atlas,2013-08-16
ACT16,ACT15,Internet Atlas,2013-08-16
ACT16,ACT18,Internet Atlas,2013-08-16
ACT161,ACT160,Internet Atlas,2013-08-16
ACT161,ACT163,Internet Atlas,2013-08-16
ACT164,ACT163,Internet Atlas,2013-08-16
ACT164,ACT165,Internet Atlas,2013-08-16
ACT164,ACT167,Internet Atlas,2013-08-16
ACT166,ACT167,Internet Atlas,2013-08-16
ACT166,ACT168,Internet Atlas,2013-08-16
ACT169,ACT168,Internet Atlas,2013-08-16
ACT169,ACT170,Internet Atlas,2013-08-16
ACT170,ACT134,Internet Atlas,2013-08-16
ACT171,ACT170,Internet Atlas,2013-08-16
ACT171,ACT75,Internet Atlas,2013-08-16
