ASN,LATITUDE,LONGITUDE,SOURCE,VALIDATED,STANDARD_LATITUDE,STANDARD_LONGITUDE,STANDARD_CITY,STANDARD_STATE,STANDARD_COUNTRY,PHYSICAL_PRESENCE,ASOF_DATE
201709,53.551,10.039,RIPEAtlas,,53.5500246369,9.99999914413,Hamburg,Hamburg,DE,False,2022-09-15
35258,53.6137,10.0262,RIPEAtlas,,53.5500246369,9.99999914413,Hamburg,Hamburg,DE,False,2022-09-15
35258,53.6119,10.0254,RIPEAtlas,,53.5500246369,9.99999914413,Hamburg,Hamburg,DE,False,2022-09-15
61157,53.4761,10.0009,RIPEAtlas,,53.5500246369,9.99999914413,Hamburg,Hamburg,DE,False,2022-09-15
680,53.5696,9.9866,RIPEAtlas,,53.5500246369,9.99999914413,Hamburg,Hamburg,DE,False,2022-09-15
8893,53.5493,10.048,RIPEAtlas,,53.5500246369,9.99999914413,Hamburg,Hamburg,DE,False,2022-09-15
44973,50.0295,10.525,RIPEAtlas,,50.266607482,10.9666068102,Coburg,Bayern,DE,False,2022-09-15
205390,49.0169,8.4744,RIPEAtlas,,48.9999922883,8.39999344751,Karlsruhe,Baden-Württemberg,DE,False,2022-09-15
34878,49.0122,8.4082,RIPEAtlas,,48.9999922883,8.39999344751,Karlsruhe,Baden-Württemberg,DE,False,2022-09-15
8560,48.9997,8.3857,RIPEAtlas,,48.9999922883,8.39999344751,Karlsruhe,Baden-Württemberg,DE,False,2022-09-15
13101,54.3662,10.1081,RIPEAtlas,,54.330390441,10.1300170478,Kiel,Schleswig-Holstein,DE,False,2022-09-15
13101,54.3233,10.1228,RIPEAtlas,,54.330390441,10.1300170478,Kiel,Schleswig-Holstein,DE,False,2022-09-15
29505,53.8689,10.6843,RIPEAtlas,,53.8703926789,10.6699840888,Lübeck,Schleswig-Holstein,DE,False,2022-09-15
35065,51.3955,12.3988,RIPEAtlas,,51.3354052929,12.4099812405,Leipzig,Sachsen,DE,False,2022-09-15
16276,50.3986,8.0796,RIPEAtlas,,50.0803914582,8.250028441,Wiesbaden,Hessen,DE,False,2022-09-15
680,52.1402,11.6442,RIPEAtlas,,52.1304213655,11.6200036201,Magdeburg,Sachsen-Anhalt,DE,False,2022-09-15
2857,49.9921,8.2426,RIPEAtlas,,49.982472455,8.2732191555,Mainz,Rheinland-Pfalz,DE,False,2022-09-15
15945,49.4263,8.3592,RIPEAtlas,,49.5003751822,8.47001501327,Mannheim,Baden-Württemberg,DE,False,2022-09-15
21473,49.5071,8.5266,RIPEAtlas,,49.5003751822,8.47001501327,Mannheim,Baden-Württemberg,DE,False,2022-09-15
680,51.9685,7.5964,RIPEAtlas,,51.9704052929,7.62004105493,Münster,Nordrhein-Westfalen,DE,False,2022-09-15
212567,48.1957,11.5927,RIPEAtlas,,48.129942036,11.5749934475,Munich,Bayern,DE,False,2022-09-15
35003,48.1181,11.6018,RIPEAtlas,,48.129942036,11.5749934475,Munich,Bayern,DE,False,2022-09-15
48328,48.1047,11.6002,RIPEAtlas,,48.129942036,11.5749934475,Munich,Bayern,DE,False,2022-09-15
5539,48.1367,11.5768,RIPEAtlas,,48.129942036,11.5749934475,Munich,Bayern,DE,False,2022-09-15
5539,48.14,11.5266,RIPEAtlas,,48.129942036,11.5749934475,Munich,Bayern,DE,False,2022-09-15
8767,48.1865,11.5874,RIPEAtlas,,48.129942036,11.5749934475,Munich,Bayern,DE,False,2022-09-15
8767,48.1835,11.5946,RIPEAtlas,,48.129942036,11.5749934475,Munich,Bayern,DE,False,2022-09-15
680,48.0792,11.6459,RIPEAtlas,,48.129942036,11.5749934475,Munich,Bayern,DE,False,2022-09-15
61157,53.7026,9.9898,RIPEAtlas,,53.5500246369,9.99999914413,Hamburg,Hamburg,DE,False,2022-09-15
