CITY_NAME,STATE_PROVINCE,COUNTRY_CODE,CITY_LATITUDE,CITY_LONGITUDE
Ifakara,Morogoro,TZ,-8.12959552117,36.6800243721
Mikumi,Morogoro,TZ,-7.39961423862,36.9800060616
Bagamoyo,Pwani,TZ,-6.43962115593,38.8900186755
Kilosa,Morogoro,TZ,-6.83959674187,36.9900312894
Kericho,Rift Valley,KE,-0.3595788382,35.2800064685
Mpwapwa,Dodoma,TZ,-6.34960081088,36.4799849027
Korogwe,Tanga,TZ,-5.08957436231,38.5400141996
Tanga,Tanga,TZ,-5.0700406709,39.0900064685
Ngorongoro,Arusha,TZ,-3.24958331412,35.51999182
Dodoma,Dodoma,TZ,-6.18330605177,35.7500036201
Malindi,Coast,KE,-3.20999916699,40.1000223376
Same,Kilimanjaro,TZ,-4.06958494173,37.720012572
Moshi,Kilimanjaro,TZ,-3.33960365918,37.3399840889
Machakos,Eastern,KE,-1.50953448599,37.2599889717
Konza,Rift Valley,KE,-1.74962319042,37.1199975166
Naivasha,Rift Valley,KE,-0.70958331411,36.4299621162
Eldoret,Rift Valley,KE,0.52000571584,35.2699812406
Manyoni,Singida,TZ,-5.7796097627,34.9000296618
Nakuru,Rift Valley,KE,-0.27999713247,36.0699840889
Thika,Central,KE,-1.03958901073,37.0900251859
Nairobi,Nairobi,KE,-1.28334674185,36.8166568591
Nyeri,Central,KE,-0.41699699049,36.9510036318
Embu,Eastern,KE,-0.51956907258,37.4500032133
Marrupa,Nassa,MZ,-13.1983817354,37.499457559
Lindi,Lindi,TZ,-10.000023988,39.6999950752
Tunduru,Ruvuma,TZ,-11.0895698864,37.3700080961
Dar es Salaam,Dar-Es-Salaam,TZ,-6.80001259474,39.2683418363
Kibiti,Pwani,TZ,-7.72961993524,38.9500150134
Mkokotoni,Kaskazini-Unguja,TZ,-5.8789979746,39.259998618
Mtwara,Mtwara,TZ,-10.2696199352,40.1899910062
Chake Chake,Kusini-Pemba,TZ,-5.23953936882,39.770016641
Kibaha,Pwani,TZ,-6.76670395349,38.9167026015
Zanzibar,Zanzibar West,TZ,-6.1599999808,39.2000255928
Mombasa,Coast,KE,-4.04002602246,39.6899181709
Kilifi,Coast,KE,-3.6096130179,39.8500117582
Voi,Coast,KE,-3.36957598991,38.5699865303
Mwingi,Eastern,KE,-0.92956988638,38.0700170479
Nampula,Nampula,MZ,-15.1360412406,39.2930431709
Montepuez,Cabo Delgado,MZ,-13.1195751761,39.0000377998
Mocimboa,Cabo Delgado,MZ,-11.3195816866,40.3499812406
Lamu,Coast,KE,-2.2620436204,40.9196664269
Tsavo,Coast,KE,-2.9827778942,38.4666336657
Wete,Kaskazini-Pemba,TZ,-5.06346395918,39.7257990016
Kilindoni,Pwani,TZ,-7.91627520867,39.6500239652
Witu,Coast,KE,-2.37961057649,40.4300280342
Nacala,Nampula,MZ,-14.5186112276,40.7150235583
Moroni,,KM,-11.7041576957,43.2402440987
Kismaayo,Jubbada Hoose,SO,-0.35663328156,42.5183243396
Antsiranana,Antsiranana,MG,-12.2765015156,49.3115261042
Jamaame,Jubbada Hoose,SO,0.0721777536,42.7505582263
Buur Gaabo,Jubbada Hoose,SO,-1.20086986836,41.8519597903
Pemba,Cabo Delgado,MZ,-12.983046042,40.5323473702
Dzaoudzi,Moyotte,YT,-12.7870890108,45.2750036202
Antsohihy,Mahajanga,MG,-14.8660835583,47.9833654366
Lisala,Équateur,CD,2.14001019176,21.5099942614
Basankusu,Cquateur,CD,1.23370892222,19.8000211168
Bumba,Équateur,CD,2.18998130178,22.4599621162
Zongo,Cquateur,CD,4.33034161266,18.6150288479
Binga,Cquateur,CD,2.38340618785,20.419983275
Bongandanga,Équateur,CD,1.5103587025,21.0500223375
Inongo,Bandundu,CD,-1.93999916698,18.2800105374
Aketi,Orientale,CD,2.74046449677,23.7799849027
Boende,Équateur,CD,-0.21958738312,20.860008096
Bafwasende,Orientale,CD,1.08384726858,27.2665937894
Buta,Orientale,CD,2.81999452607,24.7400296618
Basoko,Orientale,CD,1.24042685842,23.5900223375
Wamba,Orientale,CD,2.14042360321,27.9899604886
Bondo,Orientale,CD,3.80995993948,23.6700174547
Wau,West Bahr-al-Ghazal,SS,7.6999808949,27.9899604886
Libenge,Équateur,CD,3.66043418265,18.6199897854
Bosobolo,Équateur,CD,4.1903759958,19.880016234
Bangassou,Mbomou,CF,4.73375368135,22.8166328519
Bambari,Ouaka,CF,5.76195965466,20.6672033271
El Agheila,Ajdabiya,LY,30.2570278107,19.2000060615
Gbadolite,Équateur,CD,4.29036989229,21.0199466539
Ouadda,Haute-Kotto,CF,8.06709026991,22.4000174547
Businga,Équateur,CD,3.34037619925,20.8699816474
Mobaye,Basse-Kotto,CF,4.32000005912,21.1799975311
Zemio,Haut-Mbomou,CF,5.03365785616,25.1332873115
Obo,Haut-Mbomou,CF,5.39999208467,26.5000255928
Yakossi,Mbomou,CF,5.61700726208,23.3166540107
Bria,Haute-Kotto,CF,6.53330792127,21.9832987047
Fort Portal,Kabarole,UG,0.67100412113,30.275001616
